Ticker,Company Name,Listing Board
BTPS,Bank BTPN Syariah Tbk.,Main
SPTO,Surya Pertiwi Tbk.,Main
HEAL,Medikaloka Hermina Tbk.,Main
TUGU,Asuransi Tugu Pratama Indonesi,Main
MSIN,MNC Digital Entertainment Tbk.,Main
MAPA,Map Aktif Adiperkasa Tbk.,Main
IPCC,Indonesia Kendaraan Terminal T,Main
FILM,MD Entertainment Tbk.,Main
PANI,Pantai Indah Kapuk Dua Tbk.,Main
GOOD,Garudafood Putra Putri Jaya Tb,Main
SKRN,Superkrane Mitra Utama Tbk.,Main
BOLA,Bali Bintang Sejahtera Tbk.,Main
KOTA,DMS Propertindo Tbk.,Main
HDIT,Hensel Davest Indonesia Tbk.,Main
KEEN,Kencana Energi Lestari Tbk.,Main
TEBE,Dana Brata Luhur Tbk.,Main
KEJU,Mulia Boga Raya Tbk.,Main
PSGO,Palma Serasih Tbk.,Main
UCID,Uni-Charm Indonesia Tbk.,Main
GLVA,Galva Technologies Tbk.,Main
AMAR,Bank Amar Indonesia Tbk.,Main
DMND,Diamond Food Indonesia Tbk.,Main
SAMF,Saraswanti Anugerah Makmur Tbk,Main
SGER,Sumber Global Energy Tbk.,Main
PNGO,Pinago Utama Tbk.,Main
BBSI,Krom Bank Indonesia Tbk.,Main
VICI,Victoria Care Indonesia Tbk.,Main
TAPG,Triputra Agro Persada Tbk.,Main
MASB,Bank Multiarta Sentosa Tbk.,Main
BMHS,Bundamedik Tbk.,Main
BUKA,Bukalapak.com Tbk.,Ekonomi Baru
MCOL,Prima Andalan Mandiri Tbk.,Main
MTEL,Dayamitra Telekomunikasi Tbk.,Main
CMRY,Cisarua Mountain Dairy Tbk.,Main
RMKE,RMK Energy Tbk.,Main
AVIA,Avia Avian Tbk.,Main
DRMA,Dharma Polimetal Tbk.,Main
ADMR,Alamtri Minerals Indonesia Tbk,Main
STAA,Sumber Tani Agung Resources Tb,Main
GOTO,GoTo Gojek Tokopedia Tbk.,Development
TLDN,Teladan Prima Agro Tbk.,Main
MTMH,Murni Sadar Tbk.,Main
TRGU,Cerestar Indonesia Tbk.,Main
HATM,Habco Trans Maritima Tbk.,Main
JARR,Jhonlin Agro Raya Tbk.,Main
ELPI,Pelayaran Nasional Ekalya Purn,Main
PRAY,Famon Awal Bros Sedaya Tbk.,Main
CBUT,Citra Borneo Utama Tbk.,Main
MKTR,Menthobi Karyatama Raya Tbk.,Main
OMED,Jayamas Medica Industri Tbk.,Main
SUNI,Sunindo Pratama Tbk.,Main
PGEO,Pertamina Geothermal Energy Tb,Main
BDKR,Berdikari Pondasi Perkasa Tbk.,Main
CUAN,Petrindo Jaya Kreasi Tbk.,Main
SMIL,Sarana Mitra Luas Tbk.,Main
AMMN,Amman Mineral Internasional Tb,Main
MAHA,Mandiri Herindo Adiperkasa Tbk,Main
ERAL,Sinar Eka Selaras Tbk.,Main
BREN,Barito Renewables Energy Tbk.,Main
MSTI,Mastersystem Infotama Tbk.,Main
ALII,Ancara Logistics Indonesia Tbk,Main
GOLF,Intra Golflink Resorts Tbk.,Main
DAAZ,Daaz Bara Lestari Tbk.,Main
AADI,Adaro Andalan Indonesia Tbk.,Main
MDIY,Daya Intiguna Yasa Tbk.,Main
DGWG,Delta Giri Wacana Tbk.,Main
CBDK,Bangun Kosambi Sukses Tbk.,Main
BLOG,Trimitra Trans Persada Tbk.,Main
YUPI,Yupi Indo Jelly Gum Tbk.,Main
MDLA,Medela Potentia Tbk.,Main
MBMA,Merdeka Battery Materials Tbk.,Main
RAAM,Tripar Multivision Plus Tbk.,Main
JECX,Nitrasanata Dharma Tbk.,Main
BACH,Bach Multi Global Tbk.,Main
ADRO,Alamtri Resources Indonesia Tb,Main
AGRO,Bank Raya Indonesia Tbk.,Main
